GAME_ID,GAME_DATE,HOME_TEAM_ABBREV,AWAY_TEAM_ABBREV,SEASON_TYPE
0022400061,2024-10-22,BOS,NYK,Regular Season
0022400062,2024-10-22,LAL,MIN,Regular Season
0022400063,2024-10-23,DET,IND,Regular Season
0022400064,2024-10-23,ATL,BKN,Regular Season
0022400065,2024-10-23,MIA,ORL,Regular Season
0022400066,2024-10-23,PHI,MIL,Regular Season
0022400067,2024-10-23,TOR,CLE,Regular Season
0022400068,2024-10-23,HOU,CHA,Regular Season
0022400069,2024-10-23,NOP,CHI,Regular Season
0022400070,2024-10-23,UTA,MEM,Regular Season
0022400071,2024-10-23,LAC,PHX,Regular Season
0022400072,2024-10-23,POR,GSW,Regular Season
0022400073,2024-10-24,WAS,BOS,Regular Season
0022400074,2024-10-24,DAL,SAS,Regular Season
0022400075,2024-10-24,DEN,OKC,Regular Season
0022400076,2024-10-24,SAC,MIN,Regular Season
0022400077,2024-10-25,ORL,BKN,Regular Season
0022400078,2024-10-25,TOR,PHI,Regular Season
0022400079,2024-10-25,ATL,CHA,Regular Season
0022400080,2024-10-25,CLE,DET,Regular Season
0022400081,2024-10-25,NYK,IND,Regular Season
0022400082,2024-10-25,HOU,MEM,Regular Season
0022400083,2024-10-25,MIL,CHI,Regular Season
0022400084,2024-10-25,UTA,GSW,Regular Season
0022400085,2024-10-25,LAL,PHX,Regular Season
0022400086,2024-10-25,POR,NOP,Regular Season
0022400087,2024-10-26,DEN,LAC,Regular Season
0022400088,2024-10-26,CHA,MIA,Regular Season
0022400089,2024-10-26,DET,BOS,Regular Season
0022400090,2024-10-26,WAS,CLE,Regular Season
0022400091,2024-10-26,CHI,OKC,Regular Season
0022400092,2024-10-26,MEM,ORL,Regular Season
0022400093,2024-10-26,MIN,TOR,Regular Season
0022400094,2024-10-26,SAS,HOU,Regular Season
0022400095,2024-10-26,PHX,DAL,Regular Season
0022400096,2024-10-26,LAL,SAC,Regular Season
0022400097,2024-10-27,IND,PHI,Regular Season
0022400098,2024-10-27,BKN,MIL,Regular Season
0022400099,2024-10-27,POR,NOP,Regular Season
0022400100,2024-10-27,OKC,ATL,Regular Season
0022400101,2024-10-27,GSW,LAC,Regular Season
0022400102,2024-10-28,ORL,IND,Regular Season
0022400103,2024-10-28,ATL,WAS,Regular Season
0022400104,2024-10-28,BOS,MIL,Regular Season
0022400105,2024-10-28,MIA,DET,Regular Season
0022400106,2024-10-28,NYK,CLE,Regular Season
0022400107,2024-10-28,TOR,DEN,Regular Season
0022400108,2024-10-28,MEM,CHI,Regular Season
0022400109,2024-10-28,SAS,HOU,Regular Season
0022400110,2024-10-28,DAL,UTA,Regular Season
0022400111,2024-10-28,PHX,LAL,Regular Season
0022400112,2024-10-28,SAC,POR,Regular Season
0022400113,2024-10-29,BKN,DEN,Regular Season
0022400114,2024-10-29,MIN,DAL,Regular Season
0022400115,2024-10-29,UTA,SAC,Regular Season
0022400116,2024-10-29,GSW,NOP,Regular Season
0022400117,2024-10-30,CHA,TOR,Regular Season
0022400118,2024-10-30,CLE,LAL,Regular Season
0022400119,2024-10-30,IND,BOS,Regular Season
0022400120,2024-10-30,PHI,DET,Regular Season
0022400121,2024-10-30,WAS,ATL,Regular Season
0022400122,2024-10-30,MIA,NYK,Regular Season
0022400123,2024-10-30,CHI,ORL,Regular Season
0022400124,2024-10-30,MEM,BKN,Regular Season
0022400125,2024-10-30,OKC,SAS,Regular Season
0022400126,2024-10-30,GSW,NOP,Regular Season
0022400127,2024-10-30,LAC,POR,Regular Season
0022400128,2024-10-31,MEM,MIL,Regular Season
0022400129,2024-10-31,DAL,HOU,Regular Season
0022400130,2024-10-31,UTA,SAS,Regular Season
0022400131,2024-10-31,LAC,PHX,Regular Season
0022400132,2024-11-01,CHA,BOS,Regular Season
0022400133,2024-11-01,CLE,ORL,Regular Season
0022400134,2024-11-01,DET,NYK,Regular Season
0022400135,2024-11-01,ATL,SAC,Regular Season
0022400136,2024-11-01,BKN,CHI,Regular Season
0022400137,2024-11-01,TOR,LAL,Regular Season
0022400138,2024-11-01,NOP,IND,Regular Season
0022400139,2024-11-01,MIN,DEN,Regular Season
0022400140,2024-11-01,POR,OKC,Regular Season
0022400141,2024-11-02,CHA,BOS,Regular Season
0022400142,2024-11-02,PHI,MEM,Regular Season
0022400143,2024-11-02,TOR,SAC,Regular Season
0022400144,2024-11-02,HOU,GSW,Regular Season
0022400145,2024-11-02,MIL,CLE,Regular Season
0022400146,2024-11-02,SAS,MIN,Regular Season
0022400148,2024-11-02,DEN,UTA,Regular Season
0022400149,2024-11-02,PHX,POR,Regular Season
0022400150,2024-11-02,LAC,OKC,Regular Season
0022400151,2024-11-03,BKN,DET,Regular Season
0022400152,2024-11-03,NOP,ATL,Regular Season
0022400153,2024-11-03,DAL,ORL,Regular Season
0022400154,2024-11-04,CLE,MIL,Regular Season
0022400155,2024-11-04,WAS,GSW,Regular Season
0022400156,2024-11-04,DET,LAL,Regular Season
0022400157,2024-11-04,ATL,BOS,Regular Season
0022400158,2024-11-04,BKN,MEM,Regular Season
0022400159,2024-11-04,MIA,SAC,Regular Season
0022400160,2024-11-04,CHI,UTA,Regular Season
0022400161,2024-11-04,HOU,NYK,Regular Season
0022400162,2024-11-04,MIN,CHA,Regular Season
0022400163,2024-11-04,OKC,ORL,Regular Season
0022400164,2024-11-04,NOP,POR,Regular Season
0022400165,2024-11-04,DAL,IND,Regular Season
0022400166,2024-11-04,DEN,TOR,Regular Season
0022400167,2024-11-04,PHX,PHI,Regular Season
0022400168,2024-11-04,LAC,SAS,Regular Season
0022400169,2024-11-06,CHA,DET,Regular Season
0022400170,2024-11-06,IND,ORL,Regular Season
0022400171,2024-11-06,ATL,NYK,Regular Season
0022400172,2024-11-06,BOS,GSW,Regular Season
0022400173,2024-11-06,HOU,SAS,Regular Season
0022400174,2024-11-06,MEM,LAL,Regular Season
0022400175,2024-11-06,NOP,CLE,Regular Season
0022400176,2024-11-06,DAL,CHI,Regular Season
0022400177,2024-11-06,DEN,OKC,Regular Season
0022400178,2024-11-06,PHX,MIA,Regular Season
0022400179,2024-11-06,LAC,PHI,Regular Season
0022400180,2024-11-06,SAC,TOR,Regular Season
0022400181,2024-11-07,CHI,MIN,Regular Season
0022400182,2024-11-07,MIL,UTA,Regular Season
0022400183,2024-11-07,SAS,POR,Regular Season
0022400184,2024-11-08,CHA,IND,Regular Season
0022400185,2024-11-08,DET,ATL,Regular Season
0022400186,2024-11-08,ORL,NOP,Regular Season
0022400187,2024-11-08,BOS,BKN,Regular Season
0022400188,2024-11-08,CLE,GSW,Regular Season
0022400189,2024-11-08,NYK,MIL,Regular Season
0022400190,2024-11-08,DAL,PHX,Regular Season
0022400191,2024-11-08,MEM,WAS,Regular Season
0022400192,2024-11-08,OKC,HOU,Regular Season
0022400193,2024-11-08,MIN,POR,Regular Season
0022400194,2024-11-08,DEN,MIA,Regular Season
0022400195,2024-11-08,LAL,PHI,Regular Season
0022400196,2024-11-08,SAC,LAC,Regular Season
0022400197,2024-11-09,SAS,UTA,Regular Season
0022400198,2024-11-09,ATL,CHI,Regular Season
0022400199,2024-11-09,CLE,BKN,Regular Season
0022400200,2024-11-09,LAC,TOR,Regular Season
0022400201,2024-11-10,DET,HOU,Regular Season
0022400202,2024-11-10,MIL,BOS,Regular Season
0022400203,2024-11-10,IND,NYK,Regular Season
0022400204,2024-11-10,ORL,WAS,Regular Season
0022400205,2024-11-10,PHI,CHA,Regular Season
0022400206,2024-11-10,MIN,MIA,Regular Season
0022400207,2024-11-10,OKC,GSW,Regular Season
0022400208,2024-11-10,DEN,DAL,Regular Season
0022400209,2024-11-10,PHX,SAC,Regular Season
0022400210,2024-11-10,POR,MEM,Regular Season
0022400211,2024-11-10,LAL,TOR,Regular Season
0022400212,2024-11-11,CHI,CLE,Regular Season
0022400213,2024-11-11,HOU,WAS,Regular Season
0022400214,2024-11-11,NOP,BKN,Regular Season
0022400215,2024-11-11,OKC,LAC,Regular Season
0022400216,2024-11-11,SAS,SAC,Regular Season
0022400001,2024-11-12,BOS,ATL,Regular Season
0022400002,2024-11-12,DET,MIA,Regular Season
0022400003,2024-11-12,ORL,CHA,Regular Season
0022400004,2024-11-12,PHI,NYK,Regular Season
0022400005,2024-11-12,MIL,TOR,Regular Season
0022400006,2024-11-12,UTA,PHX,Regular Season
0022400007,2024-11-12,GSW,DAL,Regular Season
0022400008,2024-11-12,POR,MIN,Regular Season
0022400217,2024-11-13,ORL,IND,Regular Season
0022400218,2024-11-13,BKN,BOS,Regular Season
0022400219,2024-11-13,NYK,CHI,Regular Season
0022400220,2024-11-13,PHI,CLE,Regular Season
0022400221,2024-11-13,OKC,NOP,Regular Season
0022400222,2024-11-13,HOU,LAC,Regular Season
0022400223,2024-11-13,MIL,DET,Regular Season
0022400224,2024-11-13,SAS,WAS,Regular Season
0022400225,2024-11-13,LAL,MEM,Regular Season
0022400226,2024-11-13,POR,MIN,Regular Season
0022400227,2024-11-13,SAC,PHX,Regular Season
0022400228,2024-11-14,UTA,DAL,Regular Season
0022400009,2024-11-15,IND,MIA,Regular Season
0022400010,2024-11-15,ORL,PHI,Regular Season
0022400011,2024-11-15,TOR,DET,Regular Season
0022400012,2024-11-15,ATL,WAS,Regular Season
0022400013,2024-11-15,CLE,CHI,Regular Season
0022400014,2024-11-15,NYK,BKN,Regular Season
0022400015,2024-11-15,SAS,LAL,Regular Season
0022400016,2024-11-15,HOU,LAC,Regular Season
0022400017,2024-11-15,NOP,DEN,Regular Season
0022400018,2024-11-15,OKC,PHX,Regular Season
0022400019,2024-11-15,GSW,MEM,Regular Season
0022400020,2024-11-15,SAC,MIN,Regular Season
0022400229,2024-11-16,CHA,MIL,Regular Season
0022400230,2024-11-16,BOS,TOR,Regular Season
0022400231,2024-11-16,NOP,LAL,Regular Season
0022400232,2024-11-16,DAL,SAS,Regular Season
0022400233,2024-11-16,SAC,UTA,Regular Season
0022400234,2024-11-17,MIN,PHX,Regular Season
0022400235,2024-11-17,IND,MIA,Regular Season
0022400236,2024-11-17,CLE,CHA,Regular Season
0022400237,2024-11-17,WAS,DET,Regular Season
0022400238,2024-11-17,MEM,DEN,Regular Season
0022400239,2024-11-17,POR,ATL,Regular Season
0022400240,2024-11-17,NYK,BKN,Regular Season
0022400241,2024-11-17,CHI,HOU,Regular Season
0022400242,2024-11-17,OKC,DAL,Regular Season
0022400243,2024-11-17,LAC,UTA,Regular Season
0022400244,2024-11-18,DET,CHI,Regular Season
0022400245,2024-11-18,MIA,PHI,Regular Season
