season_label,season_type,game_id,game_date,home_team,away_team,event_ticker,ticker,market_type,category,sub_category,title,subtitle,yes_sub_title,no_sub_title,status
2024-25,Playoffs,0042400233,2025-05-10,GSW,MIN,KXNBAGAME-25MAY10MINGSW,KXNBAGAME-25MAY10MINGSW-MIN,binary,,,Minnesota vs Golden State Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400233,2025-05-10,GSW,MIN,KXNBAGAME-25MAY10MINGSW,KXNBAGAME-25MAY10MINGSW-GSW,binary,,,Minnesota vs Golden State Winner?,,Golden State,Golden State,finalized
2024-25,Playoffs,0042400204,2025-05-11,IND,CLE,KXNBAGAME-25MAY11CLEIND,KXNBAGAME-25MAY11CLEIND-IND,binary,,,Cleveland vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400204,2025-05-11,IND,CLE,KXNBAGAME-25MAY11CLEIND,KXNBAGAME-25MAY11CLEIND-CLE,binary,,,Cleveland vs Indiana Winner?,,Cleveland,Cleveland,finalized
2024-25,Playoffs,0042400224,2025-05-11,DEN,OKC,KXNBAGAME-25MAY11OKCDEN,KXNBAGAME-25MAY11OKCDEN-OKC,binary,,,Oklahoma City vs Denver Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400224,2025-05-11,DEN,OKC,KXNBAGAME-25MAY11OKCDEN,KXNBAGAME-25MAY11OKCDEN-DEN,binary,,,Oklahoma City vs Denver Winner?,,Denver,Denver,finalized
2024-25,Playoffs,0042400214,2025-05-12,NYK,BOS,KXNBAGAME-25MAY12BOSNYK,KXNBAGAME-25MAY12BOSNYK-NYK,binary,,,Boston vs New York Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400214,2025-05-12,NYK,BOS,KXNBAGAME-25MAY12BOSNYK,KXNBAGAME-25MAY12BOSNYK-BOS,binary,,,Boston vs New York Winner?,,Boston,Boston,finalized
2024-25,Playoffs,0042400234,2025-05-12,GSW,MIN,KXNBAGAME-25MAY12MINGSW,KXNBAGAME-25MAY12MINGSW-MIN,binary,,,Minnesota vs Golden State Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400234,2025-05-12,GSW,MIN,KXNBAGAME-25MAY12MINGSW,KXNBAGAME-25MAY12MINGSW-GSW,binary,,,Minnesota vs Golden State Winner?,,Golden State,Golden State,finalized
2024-25,Playoffs,0042400205,2025-05-13,CLE,IND,KXNBAGAME-25MAY13INDCLE,KXNBAGAME-25MAY13INDCLE-CLE,binary,,,Indiana vs Cleveland Winner?,,Cleveland,Cleveland,finalized
2024-25,Playoffs,0042400205,2025-05-13,CLE,IND,KXNBAGAME-25MAY13INDCLE,KXNBAGAME-25MAY13INDCLE-IND,binary,,,Indiana vs Cleveland Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400225,2025-05-13,OKC,DEN,KXNBAGAME-25MAY13DENOKC,KXNBAGAME-25MAY13DENOKC-OKC,binary,,,Denver vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400225,2025-05-13,OKC,DEN,KXNBAGAME-25MAY13DENOKC,KXNBAGAME-25MAY13DENOKC-DEN,binary,,,Denver vs Oklahoma City Winner?,,Denver,Denver,finalized
2024-25,Playoffs,0042400215,2025-05-14,BOS,NYK,KXNBAGAME-25MAY14NYKBOS,KXNBAGAME-25MAY14NYKBOS-BOS,binary,,,New York vs Boston Winner?,,Boston,Boston,finalized
2024-25,Playoffs,0042400215,2025-05-14,BOS,NYK,KXNBAGAME-25MAY14NYKBOS,KXNBAGAME-25MAY14NYKBOS-NYK,binary,,,New York vs Boston Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400235,2025-05-14,MIN,GSW,KXNBAGAME-25MAY14GSWMIN,KXNBAGAME-25MAY14GSWMIN-MIN,binary,,,Golden State vs Minnesota Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400235,2025-05-14,MIN,GSW,KXNBAGAME-25MAY14GSWMIN,KXNBAGAME-25MAY14GSWMIN-GSW,binary,,,Golden State vs Minnesota Winner?,,Golden State,Golden State,finalized
2024-25,Playoffs,0042400226,2025-05-15,DEN,OKC,KXNBAGAME-25MAY15OKCDEN,KXNBAGAME-25MAY15OKCDEN-DEN,binary,,,Oklahoma City vs Denver Winner?,,Denver,Denver,finalized
2024-25,Playoffs,0042400226,2025-05-15,DEN,OKC,KXNBAGAME-25MAY15OKCDEN,KXNBAGAME-25MAY15OKCDEN-OKC,binary,,,Oklahoma City vs Denver Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400216,2025-05-16,NYK,BOS,KXNBAGAME-25MAY16BOSNYK,KXNBAGAME-25MAY16BOSNYK-NYK,binary,,,Boston vs New York Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400216,2025-05-16,NYK,BOS,KXNBAGAME-25MAY16BOSNYK,KXNBAGAME-25MAY16BOSNYK-BOS,binary,,,Boston vs New York Winner?,,Boston,Boston,finalized
2024-25,Playoffs,0042400311,2025-05-20,OKC,MIN,KXNBAGAME-25MAY20MINOKC,KXNBAGAME-25MAY20MINOKC-OKC,binary,,,Minnesota vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400311,2025-05-20,OKC,MIN,KXNBAGAME-25MAY20MINOKC,KXNBAGAME-25MAY20MINOKC-MIN,binary,,,Minnesota vs Oklahoma City Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400301,2025-05-21,NYK,IND,KXNBAGAME-25MAY21INDNYK,KXNBAGAME-25MAY21INDNYK-NYK,binary,,,Indiana vs New York Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400301,2025-05-21,NYK,IND,KXNBAGAME-25MAY21INDNYK,KXNBAGAME-25MAY21INDNYK-IND,binary,,,Indiana vs New York Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400312,2025-05-22,OKC,MIN,KXNBAGAME-25MAY22MINOKC,KXNBAGAME-25MAY22MINOKC-OKC,binary,,,Minnesota vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400312,2025-05-22,OKC,MIN,KXNBAGAME-25MAY22MINOKC,KXNBAGAME-25MAY22MINOKC-MIN,binary,,,Minnesota vs Oklahoma City Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400302,2025-05-23,NYK,IND,KXNBAGAME-25MAY23INDNYK,KXNBAGAME-25MAY23INDNYK-NYK,binary,,,Indiana vs New York Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400302,2025-05-23,NYK,IND,KXNBAGAME-25MAY23INDNYK,KXNBAGAME-25MAY23INDNYK-IND,binary,,,Indiana vs New York Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400313,2025-05-24,MIN,OKC,KXNBAGAME-25MAY24OKCMIN,KXNBAGAME-25MAY24OKCMIN-OKC,binary,,,Oklahoma City vs Minnesota Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400313,2025-05-24,MIN,OKC,KXNBAGAME-25MAY24OKCMIN,KXNBAGAME-25MAY24OKCMIN-MIN,binary,,,Oklahoma City vs Minnesota Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400303,2025-05-25,IND,NYK,KXNBAGAME-25MAY25NYKIND,KXNBAGAME-25MAY25NYKIND-NYK,binary,,,New York vs Indiana Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400303,2025-05-25,IND,NYK,KXNBAGAME-25MAY25NYKIND,KXNBAGAME-25MAY25NYKIND-IND,binary,,,New York vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400314,2025-05-26,MIN,OKC,KXNBAGAME-25MAY26OKCMIN,KXNBAGAME-25MAY26OKCMIN-MIN,binary,,,Oklahoma City vs Minnesota Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400314,2025-05-26,MIN,OKC,KXNBAGAME-25MAY26OKCMIN,KXNBAGAME-25MAY26OKCMIN-OKC,binary,,,Oklahoma City vs Minnesota Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400304,2025-05-27,IND,NYK,KXNBAGAME-25MAY27NYKIND,KXNBAGAME-25MAY27NYKIND-NYK,binary,,,New York vs Indiana Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400304,2025-05-27,IND,NYK,KXNBAGAME-25MAY27NYKIND,KXNBAGAME-25MAY27NYKIND-IND,binary,,,New York vs Indiana Winner?,,Indiana,Indiana,finalized
2024-25,Playoffs,0042400315,2025-05-28,OKC,MIN,KXNBAGAME-25MAY28MINOKC,KXNBAGAME-25MAY28MINOKC-OKC,binary,,,Minnesota vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2024-25,Playoffs,0042400315,2025-05-28,OKC,MIN,KXNBAGAME-25MAY28MINOKC,KXNBAGAME-25MAY28MINOKC-MIN,binary,,,Minnesota vs Oklahoma City Winner?,,Minnesota,Minnesota,finalized
2024-25,Playoffs,0042400305,2025-05-29,NYK,IND,KXNBAGAME-25MAY29INDNYK,KXNBAGAME-25MAY29INDNYK-NYK,binary,,,Indiana vs New York Winner?,,New York,New York,finalized
2024-25,Playoffs,0042400305,2025-05-29,NYK,IND,KXNBAGAME-25MAY29INDNYK,KXNBAGAME-25MAY29INDNYK-IND,binary,,,Indiana vs New York Winner?,,Indiana,Indiana,finalized
