season_label,season_type,game_id,game_date,home_team,away_team,event_ticker,ticker,market_type,category,sub_category,title,subtitle,yes_sub_title,no_sub_title,status
2025-26,Regular Season,0022500001,2025-10-21,OKC,HOU,KXNBAGAME-25OCT21HOUOKC,KXNBAGAME-25OCT21HOUOKC-OKC,binary,,,Houston vs Oklahoma City Winner?,,Oklahoma City,Oklahoma City,finalized
2025-26,Regular Season,0022500001,2025-10-21,OKC,HOU,KXNBAGAME-25OCT21HOUOKC,KXNBAGAME-25OCT21HOUOKC-HOU,binary,,,Houston vs Oklahoma City Winner?,,Houston,Houston,finalized
2025-26,Regular Season,0022500002,2025-10-21,LAL,GSW,KXNBAGAME-25OCT21GSWLAL,KXNBAGAME-25OCT21GSWLAL-LAL,binary,,,Golden State vs Los Angeles L Winner?,,Los Angeles L,Los Angeles L,finalized
2025-26,Regular Season,0022500002,2025-10-21,LAL,GSW,KXNBAGAME-25OCT21GSWLAL,KXNBAGAME-25OCT21GSWLAL-GSW,binary,,,Golden State vs Los Angeles L Winner?,,Golden State,Golden State,finalized
2025-26,Regular Season,0022500003,2025-10-22,NYK,CLE,KXNBAGAME-25OCT22CLENYK,KXNBAGAME-25OCT22CLENYK-NYK,binary,,,Cleveland vs New York Winner?,,New York,New York,finalized
2025-26,Regular Season,0022500003,2025-10-22,NYK,CLE,KXNBAGAME-25OCT22CLENYK,KXNBAGAME-25OCT22CLENYK-CLE,binary,,,Cleveland vs New York Winner?,,Cleveland,Cleveland,finalized
2025-26,Regular Season,0022500004,2025-10-22,DAL,SAS,KXNBAGAME-25OCT22SASDAL,KXNBAGAME-25OCT22SASDAL-SAS,binary,,,San Antonio vs Dallas Winner?,,San Antonio,San Antonio,finalized
2025-26,Regular Season,0022500004,2025-10-22,DAL,SAS,KXNBAGAME-25OCT22SASDAL,KXNBAGAME-25OCT22SASDAL-DAL,binary,,,San Antonio vs Dallas Winner?,,Dallas,Dallas,finalized
2025-26,Regular Season,0022500080,2025-10-22,CHA,BKN,KXNBAGAME-25OCT22BKNCHA,KXNBAGAME-25OCT22BKNCHA-CHA,binary,,,Brooklyn vs Charlotte Winner?,,Charlotte,Charlotte,finalized
2025-26,Regular Season,0022500080,2025-10-22,CHA,BKN,KXNBAGAME-25OCT22BKNCHA,KXNBAGAME-25OCT22BKNCHA-BKN,binary,,,Brooklyn vs Charlotte Winner?,,Brooklyn,Brooklyn,finalized
2025-26,Regular Season,0022500081,2025-10-22,ORL,MIA,KXNBAGAME-25OCT22MIAORL,KXNBAGAME-25OCT22MIAORL-ORL,binary,,,Miami vs Orlando Winner?,,Orlando,Orlando,finalized
2025-26,Regular Season,0022500081,2025-10-22,ORL,MIA,KXNBAGAME-25OCT22MIAORL,KXNBAGAME-25OCT22MIAORL-MIA,binary,,,Miami vs Orlando Winner?,,Miami,Miami,finalized
2025-26,Regular Season,0022500082,2025-10-22,ATL,TOR,KXNBAGAME-25OCT22TORATL,KXNBAGAME-25OCT22TORATL-TOR,binary,,,Toronto vs Atlanta Winner?,,Toronto,Toronto,finalized
2025-26,Regular Season,0022500082,2025-10-22,ATL,TOR,KXNBAGAME-25OCT22TORATL,KXNBAGAME-25OCT22TORATL-ATL,binary,,,Toronto vs Atlanta Winner?,,Atlanta,Atlanta,finalized
