GAME_ID,GAME_DATE,HOME_TEAM_ABBREV,AWAY_TEAM_ABBREV,SEASON_TYPE,event_ticker,title,sub_title,status
0042400121,2025-04-19,NYK,DET,Playoffs,KXNBAGAME-25APR19DETNYK,Detroit vs New York: Game 1 Winner?,DET at NYK (Apr 19),
0042400131,2025-04-19,IND,MIL,Playoffs,KXNBAGAME-25APR19MILIND,Milwaukee vs Indiana: Game 1 Winner?,MIL at IND (Apr 19),
0042400161,2025-04-19,LAL,MIN,Playoffs,KXNBAGAME-25APR19MINLAL,Minnesota vs Los Angeles L: Game 1 Winner?,MIN at LAL (Apr 19),
0042400171,2025-04-19,DEN,LAC,Playoffs,KXNBAGAME-25APR19LACDEN,Los Angeles C vs Denver: Game 1 Winner?,LAC at DEN (Apr 19),
0042400101,2025-04-20,CLE,MIA,Playoffs,KXNBAGAME-25APR20MIACLE,Miami vs Cleveland: Game 1 Winner?,MIA at CLE (Apr 20),
0042400111,2025-04-20,BOS,ORL,Playoffs,KXNBAGAME-25APR20ORLBOS,Orlando vs Boston: Game 1 Winner?,ORL at BOS (Apr 20),
0042400141,2025-04-20,OKC,MEM,Playoffs,KXNBAGAME-25APR20MEMOKC,Memphis vs Oklahoma City: Game 1 Winner?,MEM at OKC (Apr 20),
0042400151,2025-04-20,HOU,GSW,Playoffs,KXNBAGAME-25APR20GSWHOU,Golden State vs Houston: Game 1 Winner?,GSW at HOU (Apr 20),
0042400122,2025-04-21,NYK,DET,Playoffs,KXNBAGAME-25APR21DETNYK,Detroit vs New York: Game 2 Winner?,DET at NYK (Apr 21),
0042400172,2025-04-21,DEN,LAC,Playoffs,KXNBAGAME-25APR21LACDEN,Los Angeles C vs Denver: Game 2 Winner?,LAC at DEN (Apr 21),
0042400132,2025-04-22,IND,MIL,Playoffs,KXNBAGAME-25APR22MILIND,Milwaukee vs Indiana: Game 2 Winner?,MIL at IND (Apr 22),
0042400142,2025-04-22,OKC,MEM,Playoffs,KXNBAGAME-25APR22MEMOKC,Memphis vs Oklahoma City: Game 2 Winner?,MEM at OKC (Apr 22),
0042400162,2025-04-22,LAL,MIN,Playoffs,KXNBAGAME-25APR22MINLAL,Minnesota vs Los Angeles L: Game 2 Winner?,MIN at LAL (Apr 22),
0042400102,2025-04-23,CLE,MIA,Playoffs,KXNBAGAME-25APR23MIACLE,Miami vs Cleveland: Game 2 Winner?,MIA at CLE (Apr 23),
0042400112,2025-04-23,BOS,ORL,Playoffs,KXNBAGAME-25APR23ORLBOS,Orlando vs Boston: Game 2 Winner?,ORL at BOS (Apr 23),
0042400152,2025-04-23,HOU,GSW,Playoffs,KXNBAGAME-25APR23GSWHOU,Golden State vs Houston: Game 2 Winner?,GSW at HOU (Apr 23),
0042400123,2025-04-24,DET,NYK,Playoffs,KXNBAGAME-25APR24NYKDET,New York vs Detroit: Game 3 Winner?,NYK at DET (Apr 24),
0042400143,2025-04-24,MEM,OKC,Playoffs,KXNBAGAME-25APR24OKCMEM,Oklahoma City vs Memphis: Game 3 Winner?,OKC at MEM (Apr 24),
0042400173,2025-04-24,LAC,DEN,Playoffs,KXNBAGAME-25APR24DENLAC,Denver vs Los Angeles C: Game 3 Winner?,DEN at LAC (Apr 24),
